Alpha,SNP_A,SNP_B,SNP_C,SNP_D
0.512657,N2,N24,M0P1,M1T3
0.512652,N3,N16,M1T2,M2Q2
0.512650,N2,N12,N24,N31
0.512644,N0,N13,N34,M1T3
0.512638,N2,N18,N20,N22
0.512635,N2,N11,N18,M1T3
0.512627,N3,N11,N18,M1T3
0.512624,N2,M0P2,M1T2,M1T3
0.512618,N0,N31,N34,M1T3
0.512613,N0,N31,M1T1,M1T3
0.512603,N3,N35,N37,N40
0.512599,N2,N22,M0P1,M2Q1
0.512590,N0,N6,M1T3,M2Q3
0.512587,N3,N9,N39,M1T1
0.512585,N0,N31,M1T2,M2Q2
0.512584,N2,N6,N31,M2Q4
0.512583,N3,N28,N34,M2Q2
0.512581,N2,N20,N22,N29
0.512580,N3,N36,M0P2,M2Q3
0.512577,N2,N9,N12,M0P1
0.512576,N0,N18,N28,M2Q2
0.512574,N0,N22,M0P1,M1T3
0.512571,N0,N6,N34,M1T3
0.512570,N3,N18,N35,M1T3
0.512568,N2,N29,M1T3,M2Q1
0.512566,N2,N20,N22,N31
0.512565,N2,N37,M1T3,M2Q1
0.512564,N3,N18,M1T1,M1T3
0.512560,N2,N12,N39,M1T1
0.512560,N0,N10,M1T2,M2Q2
0.512558,N3,N19,N33,M1T3
0.512557,N2,N12,N39,M1T2
0.512557,N2,N12,N18,M1T1
0.512551,N3,N18,N36,M2Q3
0.512550,N0,N18,N20,N22
0.512549,N2,N29,N36,N40
0.512548,N2,M0P2,M2Q2,M2Q3
0.512547,N0,N20,M1T3,M2Q3
0.512545,N0,N18,N39,M1T3
0.512544,N2,N10,M0P1,M2Q3
0.512541,N3,N31,N37,M1T1
0.512537,N2,N36,M1T3,M2Q3
0.512536,N0,N22,N34,M1T3
0.512532,N3,N29,M1T1,M1T3
0.512525,N3,N16,M1T2,M2Q1
0.512524,N0,N10,N35,M0P1
0.512516,N2,N3,M0P1,M2Q3
0.512515,N3,N22,N39,M2Q4
0.512515,N0,N18,N22,M2Q3
0.512509,N2,N11,N24,N36
0.512504,N0,N22,N33,M2Q1
0.512500,N2,N31,N38,M1T3
0.512481,N3,N9,N39,M1T3
0.512477,N2,N9,N12,N36
0.512473,N0,N36,M1T1,M2Q3
0.512469,N0,N22,M1T3,M2Q3
0.512468,N2,N3,N20,N36
0.512468,N0,N34,N37,N39
0.512464,N3,N20,N29,M2Q3
0.512461,N2,N37,M0P1,M2Q1
0.512459,N2,N31,M1T2,M2Q2
0.512457,N3,N9,N39,N40
0.512452,N0,N18,N36,M1T3
0.512445,N0,N10,M0P1,M2Q2
0.512441,N2,N6,N34,M2Q3
0.512438,N2,N6,N11,N24
0.512437,N3,N26,M0P1,M2Q1
0.512437,N2,N29,M0P1,M2Q3
0.512435,N3,N31,M0P2,M1T3
0.512435,N2,N24,N36,M2Q2
0.512434,N3,N34,M1T3,M2Q2
0.512434,N0,N13,M0P1,M2Q3
0.512432,N0,N7,N31,N36
0.512431,N3,N15,N18,M1T3
0.512430,N2,N9,N12,N19
0.512424,N2,N33,M1T1,M2Q1
0.512423,N0,N26,N33,M1T3
0.512422,N2,N6,M0P1,M2Q1
0.512421,N3,N36,M1T2,M1T3
0.512416,N2,N12,N38,M0P1
0.512415,N2,N6,N34,M1T3
0.512414,N2,N11,N24,M1T1
0.512414,N2,M0P1,M2Q2,M2Q3
0.512414,N2,M0P1,M2Q1,M2Q3
0.512413,N0,N7,N22,N37
0.512413,N0,N34,M1T2,M1T3
0.512410,N2,N26,N29,M2Q1
0.512408,N2,N33,N34,M2Q3
0.512406,N0,N13,N31,N34
0.512400,N3,N18,N31,M2Q1
0.512399,N2,N12,N28,M2Q1
0.512394,N3,N18,M1T3,M2Q1
0.512391,N3,N29,M0P2,M1T1
0.512389,N3,N22,M1T3,M2Q4
0.512387,N2,N18,M0P2,M1T3
0.512387,N0,N13,N20,N34
0.512383,N2,N18,M0P1,M1T2
0.512380,N0,M0P1,M1T2,M2Q2
0.512375,N2,N9,N38,M0P1
0.512372,N2,N24,M0P1,M2Q1
0.512369,N0,N20,N33,N34
0.512367,N2,N9,N12,N37
0.512362,N2,N20,N29,N40
0.512355,N2,N9,N12,N26
0.512354,N2,N24,M0P1,M2Q2
0.512353,N0,N20,N34,M2Q2
0.512348,N3,N22,M2Q2,M2Q4
0.512347,N2,N36,M1T1,M1T3
0.512344,N2,N29,M1T2,M2Q2
0.512344,N2,N18,N20,N34
0.512339,N0,N31,M1T3,M2Q4
0.512338,N0,N31,N35,M1T3
0.512333,N2,N11,N31,N36
0.512332,N2,N12,N31,M2Q4
0.512331,N3,N22,N36,N39
0.512329,N2,N9,N12,N33
0.512329,N0,N22,N26,M1T3
0.512328,N2,N31,M1T1,M2Q2
0.512326,N2,N11,N24,M1T3
0.512322,N2,N18,N20,M1T1
0.512319,N3,N19,N37,M1T3
0.512313,N0,N31,M0P1,M1T3
0.512312,N2,N7,N31,N36
0.512299,N2,N18,N33,N37
0.512297,N3,M1T1,M1T2,M2Q3
0.512296,N0,N18,M1T3,M2Q2
0.512295,N2,N10,M1T2,M2Q2
0.512294,N0,N6,N36,M1T3
0.512292,N2,N18,N33,N36
0.512290,N0,N13,N24,N34
0.512282,N0,N19,N24,M1T3
0.512279,N3,N26,M1T2,M2Q3
0.512278,N2,N7,N36,M2Q2
0.512278,N2,N24,N31,M1T2
0.512276,N2,N18,N29,M1T2
0.512275,N3,N9,N31,N36
0.512274,N2,N20,N22,N36
0.512269,N3,N22,N28,M1T2
0.512268,N3,N9,N34,M2Q2
0.512261,N2,N6,N20,M2Q1
0.512261,N2,N31,N34,N36
0.512255,N2,N9,N12,N38
0.512252,N3,N13,M1T2,M2Q2
0.512252,N0,N18,N22,M1T3
0.512251,N2,N31,M1T2,M1T3
0.512251,N2,N12,M0P1,M1T1
0.512248,N0,N31,M1T3,M2Q2
0.512246,N3,N9,N33,M1T3
0.512245,N2,M0P1,M2Q1,M2Q2
0.512244,N3,N9,N30,N39
0.512243,N2,N6,N11,N34
0.512242,N2,N11,N24,N39
0.512237,N3,N28,N39,M1T2
0.512229,N0,N22,N34,N37
0.512228,N3,N13,N22,M2Q3
0.512227,N2,N12,M0P1,M1T2
0.512224,N2,N11,N24,M2Q2
0.512220,N0,N3,N20,N34
0.512215,N3,N34,N37,M2Q2
0.512213,N3,N35,N37,M1T3
0.512209,N2,N18,N28,M1T1
0.512203,N2,N28,M0P1,M2Q1
0.512203,N0,N29,N31,M0P2
0.512201,N2,N31,M2Q2,M2Q3
0.512199,N3,M1T2,M1T3,M2Q1
0.512195,N0,N6,N10,N31
0.512193,N0,N34,M1T3,M2Q2
0.512192,N3,N34,N37,M2Q3
0.512190,N2,N22,N24,M2Q4
0.512189,N0,N6,N33,M1T3
0.512186,N0,N39,N40,M2Q2
0.512186,N0,N22,M2Q2,M2Q4
0.512178,N0,N6,N34,N39
0.512168,N0,N7,N33,N36
0.512167,N2,N18,N31,M2Q3
0.512162,N2,N24,N31,M2Q3
0.512161,N2,N22,N24,M1T1
0.512157,N3,M0P2,M1T3,M2Q1
0.512156,N2,N31,M2Q1,M2Q2
0.512156,N2,N18,N28,M1T3
0.512155,N2,M0P1,M1T2,M2Q1
0.512155,N0,N28,M0P1,M2Q2
0.512149,N2,N12,N24,M0P1
0.512149,N0,N12,N34,N39
0.512145,N0,N22,N31,N34
0.512143,N2,N24,M0P1,M1T2
0.512142,N3,N20,M1T1,M1T3
0.512142,N3,N18,N39,M1T3
0.512142,N2,N11,N12,N39
0.512140,N0,N2,N24,M1T1
0.512138,N0,N12,N31,M1T3
0.512136,N3,N26,M1T2,M1T3
0.512136,N0,N20,N24,N34
0.512134,N2,N6,M0P2,M1T2
0.512133,N2,N11,N24,M1T2
0.512130,N2,N22,N29,M0P1
0.512127,N0,M1T2,M2Q2,M2Q4
